instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason,param,value
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,3081,2.0029523330158554,0.16344495804514736,186,2.0,time_limit,time_limit,2.0
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,3009,2.0014804580132477,0.026848500012420118,29,2.0,time_limit,time_limit,2.0
P-n65-k10,P,64,1,799,792.0,0.8838383838383839,10,10,840,6.0606060606060606,1811,2.000153625034727,0.9121737080276944,779,2.0,time_limit,time_limit,2.0
P-n65-k10,P,64,2,792,792.0,0.0,10,10,837,5.681818181818182,1716,2.000789583020378,1.0739184170379303,984,2.0,time_limit,time_limit,2.0
P-n65-k10,P,64,3,792,792.0,0.0,10,10,833,5.1767676767676765,1818,2.0003050419618376,1.8317843329859897,1668,2.0,time_limit,time_limit,2.0
P-n101-k4,P,100,1,681,681.0,0.0,4,4,736,8.076358296622614,829,2.0055854160455056,0.7260378750506788,261,2.0,time_limit,time_limit,2.0
P-n101-k4,P,100,2,683,681.0,0.2936857562408223,4,4,706,3.671071953010279,770,2.0002729590050876,1.3130086670280434,506,2.0,time_limit,time_limit,2.0
P-n101-k4,P,100,3,683,681.0,0.2936857562408223,4,4,698,2.4963289280469896,948,2.0020473749609664,0.5851634169812314,308,2.0,time_limit,time_limit,2.0
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,9252,5.000192417006474,0.02297933300724253,58,5.0,time_limit,time_limit,5.0
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,9074,5.0002403749967925,0.08867516601458192,191,5.0,time_limit,time_limit,5.0
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,9164,5.00028829195071,0.08934470894746482,185,5.0,time_limit,time_limit,5.0
E-n76-k8,E,75,1,737,735.0,0.272108843537415,8,8,766,4.217687074829932,3191,5.0045890000183135,3.8519344170344993,2484,5.0,time_limit,time_limit,5.0
E-n76-k8,E,75,2,736,735.0,0.1360544217687075,8,8,805,9.523809523809524,3191,5.001248584012501,3.9011290000053123,2547,5.0,time_limit,time_limit,5.0
E-n76-k8,E,75,3,737,735.0,0.272108843537415,8,8,790,7.482993197278912,3161,5.000271916971542,0.8214631250011735,547,5.0,time_limit,time_limit,5.0
E-n101-k14,E,100,1,1088,1067.0,1.9681349578256795,14,14,1130,5.904404873477039,2033,5.00294545898214,4.829591959016398,1976,5.0,time_limit,time_limit,5.0
E-n101-k14,E,100,2,1080,1067.0,1.218369259606373,14,14,1128,5.716963448922212,1881,5.000081042002421,3.883977541991044,1474,5.0,time_limit,time_limit,5.0
E-n101-k14,E,100,3,1074,1067.0,0.6560449859418932,14,14,1132,6.091846298031865,1987,5.000853041012306,4.086995707999449,1626,5.0,time_limit,time_limit,5.0
F-n72-k4,F,71,1,237,237.0,0.0,4,4,250,5.485232067510548,3392,5.000003249966539,0.04842737497529015,15,5.0,time_limit,time_limit,5.0
F-n72-k4,F,71,2,237,237.0,0.0,4,4,264,11.39240506329114,3454,5.000274833000731,0.18234066700097173,93,5.0,time_limit,time_limit,5.0
F-n72-k4,F,71,3,237,237.0,0.0,4,4,264,11.39240506329114,3481,5.00033866596641,0.4194756660144776,282,5.0,time_limit,time_limit,5.0
M-n121-k7,M,120,1,1036,1034.0,0.19342359767891681,7,7,1039,0.4835589941972921,1465,5.002577624982223,3.799516125000082,1117,5.0,time_limit,time_limit,5.0
M-n121-k7,M,120,2,1035,1034.0,0.09671179883945841,7,7,1051,1.644100580270793,1511,5.000378458003979,3.669977707962971,1076,5.0,time_limit,time_limit,5.0
M-n121-k7,M,120,3,1036,1034.0,0.19342359767891681,7,7,1049,1.4506769825918762,1431,5.003375707950909,0.7246309579932131,222,5.0,time_limit,time_limit,5.0
M-n200-k17,M,199,1,1303,1275.0,2.196078431372549,17,17,1410,10.588235294117647,1062,5.0115137079847045,4.9057353750104085,1050,5.0,time_limit,time_limit,5.0
M-n200-k17,M,199,2,1294,1275.0,1.4901960784313726,17,17,1429,12.07843137254902,1084,5.012609541998245,4.164445125032216,916,5.0,time_limit,time_limit,5.0
M-n200-k17,M,199,3,1294,1275.0,1.4901960784313726,17,17,1370,7.450980392156863,1086,5.00743237498682,4.698477249999996,1031,5.0,time_limit,time_limit,5.0
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,6964,5.000110458990093,0.027366916998289526,45,5.0,time_limit,time_limit,5.0
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,6979,5.000108167005237,0.12110470799962059,157,5.0,time_limit,time_limit,5.0
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,6996,5.00292687502224,0.027368707989808172,29,5.0,time_limit,time_limit,5.0
P-n65-k10,P,64,1,792,792.0,0.0,10,10,840,6.0606060606060606,4092,5.003043417003937,2.253431792021729,1788,5.0,time_limit,time_limit,5.0
P-n65-k10,P,64,2,792,792.0,0.0,10,10,837,5.681818181818182,4260,5.002209957980085,1.6366654579760507,1330,5.0,time_limit,time_limit,5.0
P-n65-k10,P,64,3,792,792.0,0.0,10,10,833,5.1767676767676765,4107,5.000044708023779,3.160020125040319,2550,5.0,time_limit,time_limit,5.0
P-n101-k4,P,100,1,681,681.0,0.0,4,4,736,8.076358296622614,2077,5.003683707967866,2.7923839169670828,1154,5.0,time_limit,time_limit,5.0
P-n101-k4,P,100,2,682,681.0,0.14684287812041116,4,4,706,3.671071953010279,2123,5.007231249997858,2.035934499988798,906,5.0,time_limit,time_limit,5.0
P-n101-k4,P,100,3,683,681.0,0.2936857562408223,4,4,698,2.4963289280469896,2177,5.0111267500324175,0.46515137498499826,202,5.0,time_limit,time_limit,5.0
E-n33-k4,E,32,1,835,835.0,0.0,4,4,868,3.9520958083832336,18111,10.000464457960334,0.02805924997664988,58,10.0,time_limit,time_limit,10.0
E-n33-k4,E,32,2,835,835.0,0.0,4,4,895,7.18562874251497,18000,10.000506084004883,0.0706202500150539,128,10.0,time_limit,time_limit,10.0
E-n33-k4,E,32,3,835,835.0,0.0,4,4,866,3.712574850299401,18290,10.00179291702807,0.11236362502677366,185,10.0,time_limit,time_limit,10.0
E-n76-k8,E,75,1,736,735.0,0.1360544217687075,8,8,766,4.217687074829932,5917,10.009305457992014,7.113359416020103,4255,10.0,time_limit,time_limit,10.0
E-n76-k8,E,75,2,738,735.0,0.40816326530612246,8,8,805,9.523809523809524,6104,10.004750708991196,8.888437999994494,5500,10.0,time_limit,time_limit,10.0
E-n76-k8,E,75,3,736,735.0,0.1360544217687075,8,8,790,7.482993197278912,5953,10.007228083035443,9.845614958030637,5875,10.0,time_limit,time_limit,10.0
E-n101-k14,E,100,1,1079,1067.0,1.1246485473289598,14,14,1130,5.904404873477039,3795,10.000821624998935,8.723811417003162,3307,10.0,time_limit,time_limit,10.0
E-n101-k14,E,100,2,1073,1067.0,0.5623242736644799,14,14,1128,5.716963448922212,3720,10.000145959027577,5.689180542016402,2085,10.0,time_limit,time_limit,10.0
E-n101-k14,E,100,3,1085,1067.0,1.6869728209934396,14,14,1132,6.091846298031865,3832,10.004841708985623,7.071634666994214,2742,10.0,time_limit,time_limit,10.0
