instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason
F-n135-k7,F,134,4,1162,1162.0,0.0,7,7,1189,2.323580034423408,13666,40.20086691703182,27.425000584044028,9075,40.199999999999996,time_limit
F-n135-k7,F,134,5,1165,1162.0,0.25817555938037867,7,7,1198,3.098106712564544,13559,40.20236983400537,30.225198000029195,10161,40.199999999999996,time_limit
M-n101-k10,M,100,1,820,820.0,0.0,10,10,820,0.0,15938,30.00026058300864,0.0,0,30.0,time_limit
M-n101-k10,M,100,2,820,820.0,0.0,10,10,828,0.975609756097561,15827,30.00074812496314,3.1925782919861376,1739,30.0,time_limit
M-n101-k10,M,100,3,820,820.0,0.0,10,10,828,0.975609756097561,16018,30.00230079202447,5.014312707993668,2822,30.0,time_limit
M-n101-k10,M,100,4,820,820.0,0.0,10,10,820,0.0,15921,30.00441591697745,0.0,0,30.0,time_limit
M-n101-k10,M,100,5,820,820.0,0.0,10,10,827,0.8536585365853658,15569,30.0036912499927,10.10772958403686,5418,30.0,time_limit
M-n121-k7,M,120,1,1036,1034.0,0.19342359767891681,7,7,1039,0.4835589941972921,13906,36.0006691669696,7.275781499978621,2885,36.0,time_limit
M-n121-k7,M,120,2,1035,1034.0,0.09671179883945841,7,7,1051,1.644100580270793,14078,36.001381457957905,4.267597917001694,1635,36.0,time_limit
M-n121-k7,M,120,3,1036,1034.0,0.19342359767891681,7,7,1049,1.4506769825918762,13894,36.004274459031876,2.3695601249928586,955,36.0,time_limit
M-n121-k7,M,120,4,1035,1034.0,0.09671179883945841,7,7,1047,1.2572533849129595,13726,36.005295582988765,31.138337999989744,12017,36.0,time_limit
M-n121-k7,M,120,5,1035,1034.0,0.09671179883945841,7,7,1043,0.8704061895551257,13682,36.00627725000959,34.13548841699958,12936,36.0,time_limit
M-n151-k12,M,150,1,1022,1015.0,0.6896551724137931,12,12,1085,6.896551724137931,14529,45.01131087500835,37.36595079099061,12252,45.0,time_limit
M-n151-k12,M,150,2,1021,1015.0,0.5911330049261084,12,12,1131,11.428571428571429,14399,45.009461709007155,44.64308654202614,14294,45.0,time_limit
M-n151-k12,M,150,3,1023,1015.0,0.7881773399014779,12,12,1134,11.724137931034482,14103,45.009542042040266,29.21323554200353,9605,45.0,time_limit
M-n151-k12,M,150,4,1024,1015.0,0.8866995073891626,12,12,1134,11.724137931034482,14303,45.01323412498459,28.520339542010333,9521,45.0,time_limit
M-n151-k12,M,150,5,1021,1015.0,0.5911330049261084,12,12,1162,14.482758620689655,14481,45.00361554202391,29.49128570803441,9851,45.0,time_limit
M-n200-k16,M,199,1,1293,1274.0,1.4913657770800628,16,16,1343,5.416012558869702,17921,59.7104354579933,56.23568633297691,17040,59.699999999999996,time_limit
M-n200-k16,M,199,2,1321,1274.0,3.6891679748822606,16,16,1343,5.416012558869702,18135,59.702312499983236,51.44289991701953,16272,59.699999999999996,time_limit
M-n200-k16,M,199,3,1323,1274.0,3.8461538461538463,16,16,1549,21.585557299843014,18791,59.70090333302505,49.938285167037975,16356,59.699999999999996,time_limit
M-n200-k16,M,199,4,1322,1274.0,3.767660910518053,16,16,1560,22.448979591836736,18802,59.70093333296245,58.79421912500402,18594,59.699999999999996,time_limit
M-n200-k16,M,199,5,1306,1274.0,2.511773940345369,16,16,1604,25.90266875981162,18499,59.700851666973904,58.46335158398142,18107,59.699999999999996,time_limit
M-n200-k17,M,199,1,1296,1275.0,1.6470588235294117,17,17,1410,10.588235294117647,16105,59.70746962499106,55.355285083991475,15155,59.699999999999996,time_limit
M-n200-k17,M,199,2,1279,1275.0,0.3137254901960784,17,17,1429,12.07843137254902,15998,59.70646974997362,48.34164483298082,13238,59.699999999999996,time_limit
M-n200-k17,M,199,3,1280,1275.0,0.39215686274509803,17,17,1370,7.450980392156863,15654,59.70254354097415,46.32417783298297,12748,59.699999999999996,time_limit
M-n200-k17,M,199,4,1297,1275.0,1.7254901960784315,17,17,1397,9.568627450980392,15473,59.70565824996447,53.041627749975305,13884,59.699999999999996,time_limit
M-n200-k17,M,199,5,1291,1275.0,1.2549019607843137,17,17,1404,10.117647058823529,15715,59.70049137499882,48.52271400002064,13300,59.699999999999996,time_limit
P-n16-k8,P,15,1,450,450.0,0.0,8,8,450,0.0,30000,3.7817603329895064,0.0,0,15.0,stall_limit
P-n16-k8,P,15,2,450,450.0,0.0,8,8,450,0.0,30000,3.858619083999656,0.0,0,15.0,stall_limit
P-n16-k8,P,15,3,450,450.0,0.0,8,8,461,2.4444444444444446,30008,3.774507416994311,0.0010937920305877924,8,15.0,stall_limit
P-n16-k8,P,15,4,450,450.0,0.0,8,8,461,2.4444444444444446,30012,3.8557365420274436,0.0014999170089140534,12,15.0,stall_limit
P-n16-k8,P,15,5,450,450.0,0.0,8,8,461,2.4444444444444446,30002,3.753354042011779,0.00039549998473376036,2,15.0,stall_limit
P-n19-k2,P,18,1,212,212.0,0.0,2,2,234,10.377358490566039,30235,7.023343167034909,0.0369069580337964,235,15.0,stall_limit
P-n19-k2,P,18,2,212,212.0,0.0,2,2,234,10.377358490566039,30036,7.255799875012599,0.009026084037031978,36,15.0,stall_limit
P-n19-k2,P,18,3,212,212.0,0.0,2,2,218,2.830188679245283,30009,7.304719375038985,0.0016742080333642662,9,15.0,stall_limit
P-n19-k2,P,18,4,212,212.0,0.0,2,2,234,10.377358490566039,30076,7.327021624951158,0.018094582948833704,76,15.0,stall_limit
P-n19-k2,P,18,5,212,212.0,0.0,2,2,219,3.30188679245283,30060,7.634054875001311,0.01667908299714327,60,15.0,stall_limit
P-n20-k2,P,19,1,216,216.0,0.0,2,2,234,8.333333333333334,30049,8.312304749968462,0.014186332991812378,49,15.0,stall_limit
